,applicant_id,first_name,last_names,date,self_development,geo_flex,financial_support_self,result,course_interest
42,19080061,Devondra,Blabey,2019/08/15,No,Yes,Yes,Fail,Engineering
43,19080062,Irita,Lyptrit,2019/08/07,Yes,Yes,Yes,Pass,Engineering
44,19080064,Jae,Rennolds,2019/08/29,Yes,Yes,Yes,Pass,Data
45,19080065,Marion,Consadine,2019/08/15,Yes,Yes,Yes,Pass,Business
46,19080066,Leonore,Pettiford,2019/08/13,Yes,Yes,Yes,Pass,Data
47,19080068,Edvard,Northen,2019/08/07,Yes,Yes,Yes,Pass,Data
48,19080072,Oralla,Peasgood,2019/08/07,Yes,No,Yes,Fail,Business
49,19080073,Ly,Ferro,2019/08/13,Yes,No,Yes,Fail,Business
50,19080075,Lindsey,Gerwood,2019/08/29,Yes,Yes,Yes,Fail,Data
51,19080076,Gianna,Clevely,2019/08/01,Yes,Yes,Yes,Pass,Business
52,19080077,Celine,Doree,2019/08/15,Yes,Yes,Yes,Pass,Data
53,19080078,Karlene,Hughill,2019/08/21,Yes,Yes,Yes,Pass,Data
54,19080079,Sayre,Webberley,2019/08/14,Yes,Yes,No,Fail,Engineering
55,19080080,Phyllys,Baelde,2019/08/15,Yes,Yes,Yes,Pass,Data
56,19080081,Samuele,Whear,2019/08/20,Yes,No,Yes,Fail,Business
57,19080084,Darcey,Mordin,2019/08/27,Yes,Yes,Yes,Pass,Business
58,19080085,Pamelina,Itzkovsky,2019/08/13,Yes,Yes,Yes,Pass,Engineering
59,19080085,Pamelina,Itzkovsky,2019/08/13,Yes,Yes,Yes,Pass,Engineering
60,19080087,Laurel,Gillogley,2019/08/21,Yes,No,Yes,Fail,Engineering
61,19080089,Quinta,Cowdray,2019/08/28,Yes,Yes,Yes,Pass,Engineering
62,19080090,Cecile,Lates,2019/08/15,Yes,Yes,Yes,Fail,Engineering
63,19080092,Seumas,Lemonby,2019/08/14,Yes,Yes,Yes,Pass,Engineering
64,19080093,Gale,Quartley,2019/08/13,Yes,Yes,Yes,Pass,Data
65,19080095,Dorrie,Srutton,2019/08/22,No,Yes,Yes,Fail,Engineering
66,19080096,Benny,Tichelaar,2019/08/21,No,No,Yes,Fail,Data
67,19080097,Avrit,Gawith,2019/08/15,Yes,Yes,Yes,Pass,Business
68,19080098,Berti,Dennehy,2019/08/22,Yes,Yes,Yes,Fail,Data
69,19080099,Rockey,Robarts,2019/08/14,Yes,Yes,Yes,Pass,Engineering
70,19080101,Eloisa,Ewert,2019/08/21,Yes,Yes,No,Fail,Business
71,19080102,Mireille,Risom,2019/08/21,Yes,Yes,Yes,Pass,Data
72,19080104,Sharl,Daggett,2019/08/22,Yes,Yes,Yes,Pass,Engineering
73,19080106,Nikolos,Yashin,2019/08/15,Yes,Yes,Yes,Fail,Business
74,19080107,Shela,Mccall,2019/08/14,Yes,Yes,Yes,Fail,Engineering
75,19080108,Sonnie,Malenfant,2019/08/14,Yes,Yes,Yes,Pass,Business
76,19080109,Mahmud,Molineux,2019/08/20,Yes,Yes,Yes,Pass,Business
77,19080110,Dylan,Llewellen,2019/08/29,Yes,Yes,No,Fail,Data
78,19080111,Yvor,Phalip,2019/08/01,Yes,Yes,No,Fail,Data
79,19080112,Berry,Freed,2019/08/29,Yes,Yes,Yes,Pass,Business
80,19080114,Marielle,Knivett,2019/08/01,Yes,No,Yes,Fail,Business
81,19080115,Emmanuel,Deniske,2019/08/15,Yes,Yes,Yes,Pass,Data
82,19080116,Kerr,Coucha,2019/08/07,Yes,Yes,Yes,Pass,Data
83,19080117,Dulci,Mcgrayle,2019/08/21,Yes,Yes,Yes,Pass,Data
84,19080120,Shandee,Blaschke,2019/08/21,No,Yes,Yes,Fail,Engineering
85,19080121,Paul,Chislett,2019/08/14,Yes,Yes,No,Fail,Engineering
86,19080123,Florri,Loughton,2019/08/01,No,Yes,Yes,Fail,Engineering
87,19080124,Hildy,Landre,2019/08/08,No,Yes,Yes,Fail,Data
88,19080125,Berny,Botler,2019/08/06,Yes,Yes,Yes,Pass,Data
89,19080126,Merell,Tremmil,2019/08/13,Yes,Yes,Yes,Fail,Engineering
90,19080128,Ileana,Chewter,2019/08/21,Yes,Yes,Yes,Pass,Business
91,19080129,Ilario,Yeates,2019/08/13,No,Yes,Yes,Fail,Engineering
92,19080130,Winnie,Lewerenz,2019/08/06,Yes,No,Yes,Fail,Business
93,19080131,Garwood,Strowan,2019/08/20,No,Yes,Yes,Fail,Data
94,19080132,Herb,Mcilmorie,2019/08/08,Yes,Yes,Yes,Pass,Data
95,19080134,Ingunna,Adin,2019/08/01,Yes,Yes,Yes,Pass,Data
96,19080136,Frazier,Bayston,2019/08/29,Yes,No,Yes,Fail,Data
97,19080138,Hewett,Lamputt,2019/08/13,Yes,Yes,Yes,Pass,Engineering
98,19080139,Rodger,Bendelow,2019/08/22,Yes,Yes,Yes,Pass,Data
99,19080140,Archer,Hobben,2019/08/14,Yes,Yes,Yes,Fail,Business
100,19080141,Stephani,Prettyman,2019/08/22,Yes,Yes,Yes,Pass,Engineering
101,19080142,Pepi,Bome,2019/08/20,Yes,Yes,Yes,Pass,Engineering
102,19080143,Loella,Lonnon,2019/08/06,Yes,Yes,No,Fail,Data
103,19080144,Darrin,Stoffel,2019/08/08,Yes,Yes,Yes,Pass,Business
104,19080145,Mitchel,Bates,2019/08/14,Yes,Yes,No,Fail,Engineering
105,19080148,Miles,Water,2019/08/08,Yes,Yes,Yes,Pass,Business
106,19080149,Fanni,Polhill,2019/08/28,Yes,Yes,Yes,Fail,Engineering
107,19080151,Genvieve,Arnke,2019/08/22,No,Yes,Yes,Fail,Business
108,19080152,Alicia,Hruska,2019/08/28,Yes,Yes,Yes,Pass,Business
109,19080153,Mella,Aubin,2019/08/15,Yes,Yes,Yes,Pass,Data
110,19080154,George,Huckstepp,2019/08/06,No,Yes,Yes,Fail,Engineering
111,19080156,Joelie,Elfitt,2019/08/29,Yes,Yes,No,Fail,Business
112,19080158,Omar,Rodrigo,2019/08/27,Yes,No,Yes,Fail,Engineering
113,19080159,Cal,Loache,2019/08/15,Yes,Yes,Yes,Fail,Business
114,19080162,Tully,Mcdoual,2019/08/07,Yes,Yes,Yes,Pass,Engineering
115,19080165,Molli,Brayfield,2019/08/22,Yes,Yes,Yes,Pass,Data
116,19080167,Janaya,Mawford,2019/08/01,Yes,Yes,Yes,Pass,Data
117,19080168,Lazarus,Hooke,2019/08/29,No,Yes,Yes,Fail,Data
118,19080169,Sidney,LeBatteur,2019/08/08,Yes,Yes,Yes,Pass,Data
119,19080170,Maryellen,Vasovic,2019/08/20,Yes,Yes,Yes,Pass,Data
120,19080171,Winona,Rubinowitz,2019/08/29,Yes,Yes,Yes,Pass,Engineering
121,19080173,Dur,Plom,2019/08/14,Yes,Yes,Yes,Fail,Engineering
122,19080174,Gisela,Aisbett,2019/08/15,Yes,Yes,Yes,Pass,Engineering
123,19080175,Appolonia,Jovis,2019/08/29,Yes,No,No,Fail,Business
124,19080179,Diandra,Dyhouse,2019/08/27,Yes,Yes,Yes,Pass,Business
125,19080180,Cornall,Offer,2019/08/01,Yes,No,Yes,Fail,Data
126,19080181,Dominique,Narbett,2019/08/20,Yes,Yes,Yes,Pass,Business
127,19080182,Gusti,Horrod,2019/08/27,Yes,Yes,Yes,Pass,Data
128,19080184,Brnaby,Bownes,2019/08/01,Yes,Yes,Yes,Pass,Engineering
129,19080187,Berky,Bailey,2019/08/28,Yes,Yes,Yes,Pass,Business
130,19080191,Harriett,Saffin,2019/08/28,Yes,Yes,Yes,Pass,Business
131,19080192,Pooh,Christy,2019/08/28,Yes,Yes,Yes,Pass,Data
132,19080193,Tris,Landrean,2019/08/29,Yes,Yes,Yes,Pass,Data
133,19080194,Derk,Andress,2019/08/13,Yes,Yes,Yes,Pass,Business
134,19080195,Engelbert,Vahl,2019/08/21,Yes,Yes,Yes,Pass,Data
135,19080196,Prentiss,Godman,2019/08/20,Yes,Yes,Yes,Fail,Engineering
136,19080197,Angel,Hulson,2019/08/14,Yes,Yes,Yes,Fail,Business
137,19080198,Mike,Milliere,2019/08/06,Yes,Yes,Yes,Pass,Engineering
138,19080199,Gayleen,Petru,2019/08/14,Yes,Yes,Yes,Pass,Business
139,19080200,Jozef,Burr,2019/08/07,Yes,Yes,Yes,Pass,Engineering
140,19080201,Allina,Grelka,2019/08/28,Yes,Yes,Yes,Pass,Engineering
141,19080202,Carr,Kensall,2019/08/20,Yes,No,Yes,Fail,Business
142,19080203,Nil,Macpaike,2019/08/06,Yes,Yes,Yes,Pass,Business
143,19080206,Jessie,Petriello,2019/08/06,Yes,Yes,Yes,Pass,Engineering
144,19080207,George,O'Duane,2019/08/06,Yes,Yes,Yes,Pass,Data
145,19080209,Mendie,Mcbean,2019/08/15,Yes,Yes,Yes,Pass,Engineering
146,19080210,Roze,Yepiskopov,2019/08/21,Yes,Yes,Yes,Pass,Engineering
147,19080211,Boote,Moan,2019/08/20,Yes,Yes,Yes,Pass,Business
148,19080212,Tito,Greiswood,2019/08/20,Yes,Yes,Yes,Pass,Engineering
149,19080213,Reg,Vandenhoff,2019/08/27,Yes,Yes,Yes,Pass,Data
150,19080214,Ravid,Leyninye,2019/08/06,Yes,Yes,Yes,Pass,Data
151,19080215,Ninetta,Joyce,2019/08/06,Yes,Yes,Yes,Pass,Data
152,19080216,Rozalin,Summerscales,2019/08/28,Yes,Yes,Yes,Pass,Engineering
153,19080217,Rafi,Andrzejczak,2019/08/07,Yes,No,Yes,Fail,Business
154,19080217,Rafi,Andrzejczak,2019/08/07,Yes,No,Yes,Fail,Business
155,19080218,Mead,Stolting,2019/08/29,Yes,No,Yes,Fail,Data
156,19080220,Chickie,Kezar,2019/08/21,Yes,Yes,No,Fail,Business
157,19080221,Cornall,Wastall,2019/08/15,Yes,Yes,Yes,Pass,Engineering
158,19080222,Carlin,Stellino,2019/08/20,Yes,Yes,No,Fail,Engineering
159,19080223,Sherline,Cudihy,2019/08/01,Yes,Yes,Yes,Pass,Data
160,19080224,Burnard,Fielden,2019/08/21,Yes,No,Yes,Fail,Data
161,19080225,Valle,Humby,2019/08/21,Yes,Yes,Yes,Pass,Engineering
162,19080226,Jillie,Howles,2019/08/27,Yes,Yes,No,Fail,Data
163,19080227,Chucho,Galfour,2019/08/13,Yes,Yes,Yes,Pass,Engineering
164,19080228,Orland,Glaisner,2019/08/13,Yes,Yes,Yes,Pass,Engineering
165,19080229,Luz,Gasparro,2019/08/08,Yes,Yes,Yes,Pass,Engineering
166,19080231,Melesa,Mault,2019/08/07,Yes,No,Yes,Fail,Data
167,19080233,Trudie,Kiellor,2019/08/06,Yes,Yes,Yes,Pass,Data
168,19080234,Nancie,Sazio,2019/08/15,Yes,Yes,Yes,Pass,Engineering
169,19080235,Welby,Wishkar,2019/08/14,Yes,Yes,Yes,Fail,Business
170,19080236,Carce,Capel,2019/08/28,No,Yes,Yes,Fail,Business
171,19080238,Oralia,Barrat,2019/08/27,Yes,Yes,Yes,Pass,Data
172,19080242,Katuscha,Ransfield,2019/08/07,Yes,No,Yes,Fail,Engineering
173,19080244,Norene,Fierro,2019/08/01,Yes,No,Yes,Fail,Business
174,19080245,Mylo,Sudell,2019/08/06,Yes,Yes,Yes,Pass,Data
175,19080246,Shannon,Hartman,2019/08/21,Yes,Yes,Yes,Fail,Engineering
176,19080247,Blakeley,Strood,2019/08/06,Yes,Yes,Yes,Pass,Data
177,19080248,Rafi,Downse,2019/08/21,Yes,Yes,Yes,Pass,Engineering
178,19080249,Demetrius,Tunstall,2019/08/07,Yes,Yes,Yes,Pass,Engineering
179,19080250,Melinde,Darton,2019/08/21,Yes,Yes,Yes,Pass,Business
180,19080251,Dulcea,Perl,2019/08/22,Yes,Yes,Yes,Pass,Engineering
181,19080252,Milton,Conaghan,2019/08/08,Yes,Yes,Yes,Pass,Engineering
182,19080253,Chere,Siddens,2019/08/29,No,Yes,No,Fail,Business
183,19080254,Putnem,Hessing,2019/08/08,Yes,Yes,Yes,Pass,Data
184,19080255,Timmi,Haveline,2019/08/22,Yes,Yes,Yes,Pass,Business
185,19080256,Garald,Banasevich,2019/08/08,Yes,Yes,Yes,Pass,Data
186,19080257,Anselma,Pavelin,2019/08/21,Yes,Yes,Yes,Fail,Business
187,19080258,Querida,Antonacci,2019/08/29,Yes,Yes,Yes,Pass,Data
188,19080259,Leda,Aharoni,2019/08/13,Yes,Yes,Yes,Pass,Business
189,19080260,Norri,Temby,2019/08/27,Yes,Yes,Yes,Pass,Engineering
190,19080261,Margery,Winspur,2019/08/07,Yes,Yes,Yes,Pass,Data
191,19080263,Bord,Ollin,2019/08/14,Yes,Yes,No,Fail,Business
192,19080264,Dodie,Lassells,2019/08/27,Yes,Yes,Yes,Pass,Data
193,19080266,Corie,Snodin,2019/08/22,Yes,Yes,No,Fail,Data
194,19080267,Arron,Cuerdall,2019/08/08,Yes,Yes,Yes,Pass,Engineering
195,19080270,Josh,Youens,2019/08/08,Yes,Yes,Yes,Pass,Engineering
196,19080272,Aldo,Bradnum,2019/08/27,Yes,Yes,Yes,Pass,Engineering
197,19080276,Xymenes,Pretor,2019/08/07,Yes,Yes,Yes,Pass,Engineering
198,19080277,Heinrik,Allwell,2019/08/08,Yes,Yes,Yes,Pass,Business
199,19080278,Bob,Rogerson,2019/08/07,Yes,Yes,Yes,Pass,Data
200,19080279,Neall,Mayor,2019/08/07,Yes,Yes,No,Fail,Data
201,19080281,Ilysa,Kiggel,2019/08/07,Yes,Yes,Yes,Pass,Data
202,19080283,Melisse,Craze,2019/08/20,Yes,Yes,Yes,Fail,Data
203,19080287,Petronille,Dougharty,2019/08/29,No,Yes,Yes,Fail,Business
204,19080289,Urbano,Reinisch,2019/08/13,Yes,Yes,Yes,Pass,Engineering
205,19080291,Noami,Edworthye,2019/08/20,No,Yes,Yes,Fail,Business
206,19080292,Cynthia,Jenny,2019/08/06,Yes,No,Yes,Fail,Business
207,19080293,Ivett,Prop,2019/08/22,Yes,Yes,Yes,Pass,Business
208,19080294,Lamond,Levensky,2019/08/13,Yes,Yes,Yes,Pass,Data
209,19080295,Estevan,Bartalini,2019/08/21,Yes,Yes,Yes,Pass,Engineering
210,19080296,Redford,Bubbings,2019/08/15,No,Yes,Yes,Fail,Engineering
211,19080296,Redford,Bubbings,2019/08/15,No,Yes,Yes,Fail,Engineering
212,19080297,Brandais,Reiner,2019/08/22,Yes,Yes,Yes,Pass,Business
213,19080299,Correy,Clemont,2019/08/28,Yes,No,Yes,Fail,Data
214,19080300,Starr,Curcher,2019/08/15,Yes,No,Yes,Fail,Business
215,19080301,Rosaline,Goldsmith,2019/08/21,Yes,Yes,Yes,Pass,Engineering
216,19080302,Chancey,Climer,2019/08/27,Yes,Yes,Yes,Pass,Business
217,19080303,Gena,Humbles,2019/08/29,Yes,Yes,Yes,Pass,Engineering
218,19080306,Madeleine,Younglove,2019/08/06,Yes,No,Yes,Fail,Engineering
219,19080307,Leonerd,Scamel,2019/08/08,No,Yes,Yes,Fail,Engineering
220,19080310,Balduin,Culleton,2019/08/13,Yes,Yes,Yes,Fail,Data
221,19080312,Oliy,Ellar,2019/08/13,Yes,Yes,No,Fail,Engineering
222,19080313,Carena,Nizet,2019/08/08,Yes,Yes,Yes,Pass,Engineering
223,19080318,Theo,Ottee,2019/08/21,Yes,Yes,Yes,Pass,Engineering
224,19080319,Britt,Summergill,2019/08/28,Yes,Yes,Yes,Pass,Data
225,19080320,Nial,Oret,2019/08/13,Yes,No,Yes,Fail,Data
226,19080323,Pegeen,O'Lochan,2019/08/15,Yes,Yes,No,Fail,Business
227,19080324,Kingsley,Hardaker,2019/08/28,Yes,Yes,Yes,Pass,Business
228,19080327,Lorine,Bignall,2019/08/01,Yes,Yes,Yes,Fail,Business
229,19080328,Christian,Bingley,2019/08/13,Yes,Yes,Yes,Pass,Data
230,19080332,Ad,Do,2019/08/21,Yes,Yes,Yes,Pass,Engineering
231,19080333,Beret,Devonside,2019/08/15,Yes,Yes,No,Fail,Business
232,19080334,Denyse,Weth,2019/08/22,Yes,Yes,Yes,Pass,Business
233,19080338,Deirdre,VanDenVelde,2019/08/01,Yes,Yes,Yes,Pass,Engineering
234,19080339,Bevon,Mustill,2019/08/15,No,No,Yes,Fail,Engineering
235,19080340,Ruthe,Adolthine,2019/08/01,Yes,Yes,No,Fail,Data
236,19080341,Vaughn,Wallington,2019/08/27,Yes,Yes,Yes,Pass,Business
237,19080342,Matty,Ceney,2019/08/08,Yes,Yes,Yes,Pass,Engineering
238,19080345,Rubia,Espy,2019/08/08,Yes,Yes,Yes,Pass,Business
239,19080347,Meridel,Dearell,2019/08/21,Yes,Yes,Yes,Pass,Data
240,19080349,Noelyn,Sinkin,2019/08/21,Yes,Yes,Yes,Pass,Business
241,19080350,Mozelle,Grinnov,2019/08/20,Yes,Yes,Yes,Pass,Engineering
242,19080351,Christyna,Arkill,2019/08/21,Yes,Yes,Yes,Pass,Data
243,19080352,Kain,Lowne,2019/08/29,Yes,Yes,Yes,Pass,Data
244,19080354,Mitchel,Blackesland,2019/08/14,Yes,Yes,Yes,Pass,Data
245,19080355,Albie,Lyon,2019/08/22,Yes,Yes,Yes,Pass,Data
246,19080356,Farand,Rotlauf,2019/08/20,Yes,Yes,Yes,Pass,Engineering
247,19080358,Bo,Fargie,2019/08/28,Yes,Yes,Yes,Pass,Engineering
248,19080360,Arch,Cookley,2019/08/20,Yes,No,Yes,Fail,Engineering
249,19080361,Martica,Cawse,2019/08/08,Yes,Yes,Yes,Pass,Engineering
250,19080363,Nancie,Mehaffey,2019/08/08,Yes,Yes,Yes,Pass,Data
251,19080364,Donnamarie,Schofield,2019/08/15,Yes,Yes,Yes,Pass,Data
252,19080365,Erda,Liddel,2019/08/06,Yes,No,Yes,Fail,Business
253,19080368,Alister,Bru,2019/08/07,Yes,Yes,Yes,Pass,Engineering
254,19080369,Sigismund,Izkovici,2019/08/15,Yes,Yes,Yes,Pass,Engineering
255,19080370,Star,Jurges,2019/08/01,Yes,Yes,Yes,Pass,Data
256,19080371,Pauly,Gillbee,2019/08/28,Yes,Yes,Yes,Pass,Business
257,19080373,Stan,Forkan,2019/08/01,Yes,Yes,Yes,Fail,Data
258,19080376,Brinn,Trewhela,2019/08/06,Yes,Yes,Yes,Pass,Business
259,19080377,Rodrigo,Endrighi,2019/08/14,Yes,Yes,Yes,Pass,Data
260,19080378,Tansy,Dukelow,2019/08/20,Yes,No,Yes,Fail,Engineering
261,19080380,Sean,Ovise,2019/08/27,Yes,Yes,Yes,Pass,Engineering
262,19080381,Anselma,Pawlett,2019/08/21,Yes,Yes,Yes,Pass,Data
263,19080382,Kerrie,Rosi,2019/08/22,Yes,Yes,Yes,Pass,Business
264,19080383,Dorothy,Hailwood,2019/08/15,Yes,No,Yes,Fail,Business
265,19080384,Jodie,Kaygill,2019/08/01,Yes,Yes,Yes,Pass,Data
266,19080386,Jim,Dwerryhouse,2019/08/27,Yes,Yes,Yes,Pass,Business
267,19080391,Delinda,Conybear,2019/08/01,Yes,Yes,Yes,Pass,Data
268,19080392,Norby,Burle,2019/08/21,No,No,Yes,Fail,Business
269,19080393,Robinet,Renwick,2019/08/15,Yes,Yes,Yes,Pass,Business
270,19080394,Perry,Richemond,2019/08/08,Yes,Yes,Yes,Pass,Data
271,19080395,Carlyn,Reisin,2019/08/14,Yes,Yes,Yes,Pass,Business
272,19080397,Horatius,Starking,2019/08/08,Yes,Yes,No,Fail,Business
273,19080398,Leoline,Vigietti,2019/08/07,Yes,Yes,Yes,Pass,Business
274,19080401,Rudolf,Maple,2019/08/21,Yes,Yes,Yes,Pass,Data
275,19080402,Alwin,Bullman,2019/08/07,Yes,Yes,Yes,Pass,Data
276,19080403,Shae,Ainslie,2019/08/15,Yes,Yes,Yes,Pass,Business
277,19080404,Ciel,Poizer,2019/08/14,No,Yes,Yes,Fail,Business
278,19080407,Matteo,Yeowell,2019/08/01,Yes,Yes,Yes,Pass,Business
279,19080408,Saundra,Fuzzens,2019/08/28,Yes,Yes,Yes,Fail,Business
280,19080411,Denise,Oppy,2019/08/21,Yes,Yes,Yes,Pass,Engineering
281,19080416,Didi,Stronough,2019/08/29,Yes,Yes,Yes,Pass,Engineering
282,19080418,Tarrah,Bunny,2019/08/07,Yes,Yes,Yes,Pass,Business
283,19080419,Bondon,Josselson,2019/08/15,Yes,No,Yes,Fail,Engineering
284,19080420,Denny,Begg,2019/08/08,Yes,Yes,Yes,Pass,Data
285,19080422,Clim,Lovie,2019/08/29,Yes,Yes,Yes,Fail,Business
286,19080423,Wolf,Radolf,2019/08/08,Yes,Yes,Yes,Pass,Engineering
287,19080424,Ferrel,Lissandrini,2019/08/29,Yes,Yes,Yes,Fail,Business
288,19080425,Carlos,Gerckens,2019/08/01,Yes,Yes,Yes,Pass,Data
289,19080428,Blake,Nunson,2019/08/01,Yes,Yes,Yes,Pass,Engineering
290,19080429,Paula,Danielsen,2019/08/22,Yes,Yes,No,Fail,Business
291,19080430,Brose,Menghi,2019/08/06,Yes,Yes,Yes,Pass,Engineering
292,19080432,Junia,Collins,2019/08/29,Yes,Yes,Yes,Pass,Data
293,19080435,Jule,Corke,2019/08/29,Yes,Yes,No,Fail,Engineering
294,19080438,Matteo,Cornewell,2019/08/27,Yes,Yes,Yes,Pass,Business
295,19080439,Sid,Libbie,2019/08/01,Yes,Yes,No,Fail,Engineering
296,19080441,Rhody,Cushion,2019/08/27,Yes,Yes,Yes,Pass,Business
297,19080442,Chester,Hanselmann,2019/08/07,Yes,Yes,No,Fail,Data
298,19080443,Courtney,Wenman,2019/08/28,No,Yes,Yes,Fail,Engineering
299,19080444,Vaclav,Ortler,2019/08/20,Yes,Yes,Yes,Pass,Data
300,19080445,Mariquilla,Cowope,2019/08/14,Yes,Yes,Yes,Fail,Business
301,19080448,Joey,Macgeffen,2019/08/14,Yes,Yes,Yes,Pass,Data
302,19080450,Cora,Klausewitz,2019/08/15,Yes,Yes,Yes,Pass,Data
303,19080451,Gris,Brame,2019/08/14,Yes,Yes,No,Fail,Business
304,19070002,Berty,Huban,2019/07/18,Yes,Yes,Yes,Pass,Business
305,19070003,Matthieu,Dulake,2019/07/31,Yes,Yes,Yes,Pass,Engineering
306,19070004,Darwin,Sambiedge,2019/07/10,Yes,Yes,Yes,Fail,Data
307,19070005,Sim,Bacchus,2019/07/23,Yes,Yes,Yes,Pass,Data
308,19070006,Anabal,Teese,2019/07/09,Yes,No,Yes,Fail,Business
309,19070007,Sybila,Bragge,2019/07/23,Yes,No,Yes,Fail,Data
310,19070008,Donalt,Gummoe,2019/07/16,No,Yes,Yes,Fail,Data
311,19070011,Romola,Coldtart,2019/07/17,Yes,Yes,Yes,Pass,Data
312,19070012,Shea,Chasmoor,2019/07/17,Yes,Yes,Yes,Fail,Business
313,19070013,Nora,Akers,2019/07/24,Yes,Yes,Yes,Pass,Engineering
314,19070014,Sander,Rewbottom,2019/07/25,Yes,Yes,Yes,Pass,Data
315,19070015,Francklyn,Leyninye,2019/07/24,Yes,Yes,Yes,Pass,Business
316,19070016,Julissa,Dumbleton,2019/07/24,Yes,Yes,Yes,Pass,Data
317,19070017,Zacharias,Restorick,2019/07/11,Yes,Yes,Yes,Pass,Business
318,19070018,Andriana,Uc,2019/07/02,Yes,Yes,Yes,Pass,Business
319,19070021,Benita,Enefer,2019/07/11,Yes,Yes,Yes,Pass,Data
320,19070022,Isacco,Teese,2019/07/02,Yes,Yes,Yes,Pass,Business
321,19070024,Farlee,Baalham,2019/07/16,Yes,No,Yes,Fail,Data
322,19070026,Zsa,ZsaRounsefull,2019/07/16,Yes,Yes,Yes,Fail,Data
323,19070027,Amanda,Minto,2019/07/18,No,Yes,Yes,Fail,Business
324,19070029,Annie,Ibbotson,2019/07/25,Yes,No,Yes,Fail,Business
325,19070030,Roana,Sanger,2019/07/11,Yes,No,Yes,Fail,Business
326,19070031,Elise,Soppeth,2019/07/24,Yes,Yes,Yes,Pass,Data
327,19070032,Betty,Lamlin,2019/07/10,No,Yes,Yes,Fail,Data
328,19070033,Verena,Townes,2019/07/16,Yes,Yes,Yes,Pass,Business
329,19070034,Constance,Fellibrand,2019/07/09,Yes,Yes,Yes,Pass,Engineering
