,Unnamed: 0_x,applicant_id,first_name_x,last_names_x,Psychometrics,Presentation,Date,Location,Unnamed: 0_y,first_name_y,last_names_y,date,self_development,geo_flex,financial_support_self,result,course_interest
101,127,19120264,ELISA,GOWMAN,50,19,2019/12/10,1,1089,Elisa,Gowman,2019/12/10,Yes,Yes,Yes,Pass,Data
102,128,19010001,SUE,BARFITT,50,19,2019/01/10,0,1363,Sue,Barfitt,2019/01/10,Yes,Yes,Yes,Pass,Business
103,129,19010020,ZEA,BARETTE,52,18,2019/01/10,0,1375,Zea,Barette,2019/01/10,Yes,Yes,No,Fail,Business
104,130,19010044,MEGGIE,SIDSAFF,52,18,2019/01/10,0,1390,Meggie,Sidsaff,2019/01/10,Yes,No,Yes,Fail,Engineering
105,131,19010053,GUI,GRAINE,57,17,2019/01/10,0,1398,Gui,Graine,2019/01/10,Yes,Yes,No,Fail,Engineering
106,132,19010063,CAROLANN,BUMBY,50,16,2019/01/10,0,1404,Carolann,Bumby,2019/01/10,Yes,Yes,Yes,Pass,Business
107,133,19010077,DANYA,SEDGEFIELD,57,26,2019/01/10,0,1412,Danya,Sedgefield,2019/01/10,Yes,Yes,Yes,Pass,Engineering
108,135,19010105,FRANK,TOLCHARD,50,18,2019/01/10,0,1431,Frank,Tolchard,2019/01/10,Yes,Yes,Yes,Pass,Business
109,136,19010111,SHELLI,ABBESS,51,22,2019/01/10,0,1436,Shelli,Abbess,2019/01/10,Yes,Yes,Yes,Pass,Data
110,137,19010135,AMBROS,ETHINGTON,56,23,2019/01/10,0,1453,Ambros,Ethington,2019/01/10,Yes,Yes,Yes,Fail,Business
111,139,19010215,CHESTON,CEILLIER,65,25,2019/01/10,0,1507,Cheston,Ceillier,2019/01/10,Yes,No,Yes,Fail,Engineering
112,140,19010249,BABITA,HEIGHO,50,28,2019/01/10,0,1526,Babita,Heigho,2019/01/10,Yes,Yes,No,Fail,Business
113,141,19010252,VINCE,SCOTT,65,26,2019/01/10,0,1529,Vince,Scott,2019/01/10,Yes,Yes,Yes,Pass,Data
114,142,19010298,STEPHAN,JAXON,63,22,2019/01/10,0,1557,Stephan,Jaxon,2019/01/10,Yes,Yes,Yes,Pass,Engineering
115,145,19070004,DARWIN,SAMBIEDGE,55,22,2019/07/10,1,306,Darwin,Sambiedge,2019/07/10,Yes,Yes,Yes,Fail,Data
116,147,19070032,BETTY,LAMLIN,72,24,2019/07/10,1,327,Betty,Lamlin,2019/07/10,No,Yes,Yes,Fail,Data
117,148,19070072,QUILL,TOMPKINSON,66,17,2019/07/10,1,356,Quill,Tompkinson,2019/07/10,Yes,Yes,Yes,Fail,Data
118,149,19070081,SHAUN,DOWLEY,58,22,2019/07/10,1,361,Shaun,Dowley,2019/07/10,Yes,Yes,No,Fail,Business
119,150,19070110,OSWALD,LYNDON,57,16,2019/07/10,1,380,Oswald,Lyndon,2019/07/10,Yes,Yes,Yes,Pass,Engineering
120,153,19070144,ALISON,TETT,53,18,2019/07/10,1,400,Alison,Tett,2019/07/10,Yes,Yes,Yes,Pass,Business
121,155,19070175,URIEL,EIDELMAN,50,21,2019/07/10,1,422,Uriel,Eidelman,2019/07/10,Yes,Yes,Yes,Pass,Business
122,156,19070178,DRAKE,NORTHCOTE,53,27,2019/07/10,1,424,Drake,Northcote,2019/07/10,Yes,Yes,No,Fail,Engineering
123,157,19070196,KAREL,TOULAMAIN,51,16,2019/07/10,1,438,Karel,Toulamain,2019/07/10,No,Yes,Yes,Fail,Data
124,158,19070201,ZELDA,PRESTAGE,55,18,2019/07/10,1,443,Zelda,Prestage,2019/07/10,Yes,Yes,Yes,Fail,Business
125,159,19070231,JUDON,HENZE,58,22,2019/07/10,1,464,Judon,Henze,2019/07/10,Yes,Yes,Yes,Pass,Engineering
126,160,19070254,MIGUELITA,SMEDLEY,62,17,2019/07/10,1,478,Miguelita,Smedley,2019/07/10,Yes,Yes,Yes,Pass,Data
127,161,19070255,WEYLIN,COMOLLI,50,25,2019/07/10,1,479,Weylin,Comolli,2019/07/10,Yes,Yes,Yes,Pass,Business
128,162,19070262,DALORIS,COTESFORD,60,22,2019/07/10,1,484,Daloris,Cotesford,2019/07/10,Yes,Yes,Yes,Pass,Business
129,163,19070270,SALIM,SARRA,53,19,2019/07/10,1,492,Salim,Sarra,2019/07/10,Yes,Yes,Yes,Pass,Data
130,164,19070277,JOB,RESTALL,60,21,2019/07/10,1,497,Job,Restall,2019/07/10,Yes,Yes,Yes,Pass,Data
131,165,19070284,THORIN,ESKRIET,57,17,2019/07/10,1,501,Thorin,Eskriet,2019/07/10,Yes,Yes,Yes,Fail,Business
132,166,19070292,VIVIENNE,BLAKELOCK,60,22,2019/07/10,1,507,Vivienne,Blakelock,2019/07/10,Yes,Yes,Yes,Pass,Business
133,167,19070316,RANDIE,KLIMASHEVICH,56,21,2019/07/10,1,520,Randie,Klimashevich,2019/07/10,Yes,Yes,Yes,Pass,Data
134,168,19070320,MAJE,VALLIS,62,22,2019/07/10,1,523,Maje,Vallis,2019/07/10,Yes,Yes,Yes,Pass,Engineering
135,169,19070436,FREDDIE,SAMBER,71,26,2019/07/10,1,600,Freddie,Samber,2019/07/10,Yes,Yes,Yes,Pass,Data
136,170,19070447,GRANT,KILBAN,59,22,2019/07/10,1,608,Grant,Kilban,2019/07/10,Yes,Yes,No,Fail,Business
137,171,19100045,RAMSEY,DIVALL,51,19,2019/10/10,0,2341,Ramsey,Divall,2019/10/10,Yes,Yes,Yes,Pass,Business
138,173,19100079,DRUCIE,BIANCO,53,23,2019/10/10,0,2359,Drucie,Bianco,2019/10/10,Yes,Yes,Yes,Pass,Data
139,174,19100081,POWELL,WANK,68,17,2019/10/10,0,2361,Powell,Wank,2019/10/10,Yes,Yes,Yes,Pass,Engineering
140,175,19100084,TONYE,HEARL,63,21,2019/10/10,0,2363,Tonye,Hearl,2019/10/10,Yes,Yes,Yes,Pass,Business
141,177,19100102,CLIFF,KNOWLTON,57,19,2019/10/10,0,2373,Cliff,Knowlton,2019/10/10,Yes,No,Yes,Fail,Data
142,178,19100107,LEW,BARTLOMIECZAK,63,23,2019/10/10,0,2377,Lew,Bartlomieczak,2019/10/10,Yes,Yes,Yes,Pass,Data
143,179,19100109,BARTHOLOMEO,KEATLEY,54,19,2019/10/10,0,2379,Bartholomeo,Keatley,2019/10/10,Yes,Yes,Yes,Pass,Data
144,180,19100111,ADEL,KINRADE,56,16,2019/10/10,0,2380,Adel,Kinrade,2019/10/10,Yes,Yes,Yes,Pass,Data
145,181,19100130,PARRNELL,WROE,59,15,2019/10/10,0,2396,Parrnell,Wroe,2019/10/10,Yes,Yes,Yes,Fail,Engineering
146,182,19100136,ALEXIS,ADESS,57,19,2019/10/10,0,2401,Alexis,Adess,2019/10/10,No,Yes,Yes,Fail,Business
147,183,19100143,PAULY,REBBECK,63,18,2019/10/10,0,2405,Pauly,Rebbeck,2019/10/10,Yes,Yes,Yes,Pass,Engineering
148,184,19100144,MALVIN,PENRITH,61,23,2019/10/10,0,2406,Malvin,Penrith,2019/10/10,Yes,Yes,Yes,Pass,Data
149,186,19100164,WALLIE,PECHA,51,22,2019/10/10,0,2419,Wallie,Pecha,2019/10/10,Yes,No,Yes,Fail,Data
150,188,19100192,BOBINE,ADVANI,55,17,2019/10/10,0,2441,Bobine,Advani,2019/10/10,Yes,Yes,Yes,Pass,Engineering
151,189,19100199,TOINETTE,HALLUT,58,20,2019/10/10,0,2445,Toinette,Hallut,2019/10/10,Yes,Yes,No,Fail,Data
152,191,19100216,BARNIE,JERSH,59,22,2019/10/10,0,2458,Barnie,Jersh,2019/10/10,Yes,Yes,Yes,Pass,Engineering
153,194,19100308,CHRISY,KESEY,58,15,2019/10/10,0,2516,Chrisy,Kesey,2019/10/10,Yes,Yes,Yes,Pass,Data
154,196,19100344,AMMAMARIA,TASSELL,57,20,2019/10/10,0,2542,Ammamaria,Tassell,2019/10/10,No,Yes,No,Fail,Business
155,198,19100360,LORALIE,EXROLL,53,20,2019/10/10,0,2550,Loralie,Exroll,2019/10/10,Yes,Yes,Yes,Pass,Engineering
156,200,19100390,HOBARD,GAYNES,67,23,2019/10/10,0,2567,Hobard,Gaynes,2019/10/10,No,Yes,Yes,Fail,Data
157,201,19100395,CLEVIE,BOWSHER,54,22,2019/10/10,0,2570,Clevie,Bowsher,2019/10/10,Yes,Yes,Yes,Pass,Business
158,203,19090058,MARSHA,COULTER,60,22,2019/09/10,1,2607,Marsha,Coulter,2019/09/10,Yes,Yes,Yes,Pass,Business
159,204,19090072,NORENE,DERICUT,60,23,2019/09/10,1,2615,Norene,Dericut,2019/09/10,Yes,Yes,Yes,Pass,Engineering
160,205,19090087,DALE,FEWLASS,52,22,2019/09/10,1,2624,Dale,Fewlass,2019/09/10,No,Yes,No,Fail,Business
161,206,19090093,WILFRED,GODWYN,57,17,2019/09/10,1,2627,Wilfred,Godwyn,2019/09/10,Yes,No,Yes,Fail,Engineering
162,207,19090110,IRVINE,HARMSON,55,23,2019/09/10,1,2639,Irvine,Harmson,2019/09/10,Yes,Yes,Yes,Pass,Business
163,208,19090114,LEYLA,THREADGOLD,54,18,2019/09/10,1,2641,Leyla,Threadgold,2019/09/10,Yes,Yes,Yes,Pass,Data
164,209,19090120,ETHELRED,CARTMAN,52,24,2019/09/10,1,2647,Ethelred,Cartman,2019/09/10,Yes,Yes,Yes,Pass,Engineering
165,210,19090132,BALDWIN,MACBEY,56,24,2019/09/10,1,2657,Baldwin,Macbey,2019/09/10,Yes,Yes,Yes,Pass,Business
166,211,19090134,TORRENCE,LANEGRAN,62,20,2019/09/10,1,2659,Torrence,Lanegran,2019/09/10,Yes,Yes,Yes,Pass,Data
167,213,19090159,PATRIC,GOULT,68,22,2019/09/10,1,2674,Patric,Goult,2019/09/10,Yes,Yes,Yes,Pass,Data
168,214,19090169,JENNINE,ERNI,56,26,2019/09/10,1,2683,Jennine,Erni,2019/09/10,Yes,Yes,Yes,Pass,Engineering
169,216,19090183,GLYNNIS,WICKEN,50,26,2019/09/10,1,2691,Glynnis,Wicken,2019/09/10,Yes,No,Yes,Fail,Engineering
170,217,19090190,STEPHINE,KIRTON,63,19,2019/09/10,1,2694,Stephine,Kirton,2019/09/10,Yes,Yes,Yes,Pass,Data
171,218,19090194,CARROLL,TREASADEN,54,21,2019/09/10,1,2697,Carroll,Treasaden,2019/09/10,Yes,Yes,No,Fail,Data
172,219,19090196,RIVA,MANGEOT,53,23,2019/09/10,1,2698,Riva,Mangeot,2019/09/10,Yes,Yes,Yes,Pass,Business
173,220,19090203,LILIAS,MCGORLEY,50,17,2019/09/10,1,2702,Lilias,McGorley,2019/09/10,Yes,Yes,Yes,Pass,Data
174,221,19090249,GARRARD,KEWARD,64,28,2019/09/10,1,2735,Garrard,Keward,2019/09/10,Yes,Yes,Yes,Pass,Data
175,222,19090256,COLLIN,COMMINS,52,22,2019/09/10,1,2741,Collin,Commins,2019/09/10,Yes,Yes,Yes,Pass,Data
176,223,19090304,BERTHA,BURCHFIELD,55,18,2019/09/10,1,2774,Bertha,Burchfield,2019/09/10,Yes,Yes,Yes,Pass,Data
177,225,19090342,IGNATIUS,DOXSEY,60,23,2019/09/10,1,2798,Ignatius,Doxsey,2019/09/10,Yes,Yes,No,Fail,Business
178,226,19090396,JO-ANN,GALLIHAULK,62,20,2019/09/10,1,2835,Jo-Ann,Gallihaulk,2019/09/10,Yes,Yes,Yes,Pass,Business
179,227,19090398,MARK,BECKINGHAM,63,28,2019/09/10,1,2837,Mark,Beckingham,2019/09/10,Yes,Yes,No,Fail,Business
180,228,19090407,RYLEY,DAEL,62,25,2019/09/10,1,2841,Ryley,Dael,2019/09/10,No,Yes,Yes,Fail,Engineering
181,229,19040028,MERIDEL,RANDELL,62,23,2019/04/11,0,2867,Meridel,Randell,2019/04/11,Yes,Yes,Yes,Pass,Business
182,230,19040051,ISACCO,BOICHAT,57,19,2019/04/11,0,2877,Isacco,Boichat,2019/04/11,No,Yes,Yes,Fail,Data
183,231,19040067,VALENKA,JIRSA,63,18,2019/04/11,0,2891,Valenka,Jirsa,2019/04/11,Yes,Yes,No,Fail,Business
184,233,19040083,THEOBALD,RAWLES,66,16,2019/04/11,0,2901,Theobald,Rawles,2019/04/11,Yes,Yes,Yes,Pass,Business
185,234,19040203,HUBIE,SURGOOD,52,21,2019/04/11,0,2987,Hubie,Surgood,2019/04/11,Yes,Yes,Yes,Pass,Engineering
186,235,19040208,PACO,STANGE,59,22,2019/04/11,0,2989,Paco,StAnge,2019/04/11,Yes,Yes,Yes,Pass,Business
187,236,19040217,FORBES,SCIMONI,54,16,2019/04/11,0,2995,Forbes,Scimoni,2019/04/11,Yes,Yes,No,Fail,Engineering
188,237,19040220,AGGY,ALESSANDRUCCI,55,21,2019/04/11,0,2997,Aggy,Alessandrucci,2019/04/11,No,Yes,Yes,Fail,Data
189,239,19040266,VIV,NEWBY,51,15,2019/04/11,0,3029,Viv,Newby,2019/04/11,Yes,Yes,Yes,Pass,Data
