,Name,Psychometrics,Presentation,Date,Location
10,MELLICENT DESAUR,67/100,18/32,2019/05/01,London Academy
11,KAMILA SILVERSMIDT,53/100,16/32,2019/05/01,London Academy
12,BERNADINE SINKIN,60/100,17/32,2019/05/01,London Academy
13,WILLIAM DRYDEN,63/100,23/32,2019/05/01,London Academy
14,MATTHIAS BURNS,53/100,22/32,2019/05/01,London Academy
15,MAXWELL WYER,50/100,21/32,2019/05/01,London Academy
16,MIGUELA QUANTRILL,60/100,21/32,2019/05/01,London Academy
17,JULIET SCOTTRELL,55/100,16/32,2019/05/01,London Academy
18,GANNIE BAREHEAD,46/100,19/32,2019/05/01,London Academy
19,SIOUXIE TUNSTALL,57/100,23/32,2019/05/01,London Academy
20,KEENAN STUBBES,50/100,21/32,2019/05/01,London Academy
21,VERNEY SKEHAN,58/100,15/32,2019/05/01,London Academy
22,BERNICE NIBLETT,52/100,16/32,2019/05/01,London Academy
23,SUSIE CICCOLOI,65/100,21/32,2019/05/01,London Academy
24,CORNEY KOLINSKY,50/100,23/32,2019/05/01,London Academy
25,BENSON SYNCKE,57/100,18/32,2019/05/01,London Academy
26,HALSEY BROADER,67/100,26/32,2019/05/01,London Academy
0,KONSTANTINE GIACOMONI,48/100,24/32,2019/10/01,London Academy
1,CARMELLE JADO,54/100,22/32,2019/10/01,London Academy
2,EWARD STANYARD,48/100,20/32,2019/10/01,London Academy
3,EDGARDO LIDYARD,49/100,24/32,2019/10/01,London Academy
4,CLAUDIA MAY,53/100,18/32,2019/10/01,London Academy
5,GINEVRA KOPS,52/100,21/32,2019/10/01,London Academy
6,LAMBERT FORTNON,57/100,22/32,2019/10/01,London Academy
7,FAR LUBECK,52/100,18/32,2019/10/01,London Academy
8,JOANN ASPINWALL,59/100,15/32,2019/10/01,London Academy
9,SALLYANN JACOBI,60/100,15/32,2019/10/01,London Academy
10,AGUSTIN BOOG,55/100,21/32,2019/10/01,London Academy
11,FIANN PARMETER,52/100,23/32,2019/10/01,London Academy
12,LINETTE GILHOOLIE,55/100,19/32,2019/10/01,London Academy
13,PEARLA DURTNELL,55/100,21/32,2019/10/01,London Academy
14,CANDIE SENNER,59/100,24/32,2019/10/01,London Academy
15,MYCHAL BACHELAR,47/100,24/32,2019/10/01,London Academy
0,ESME TRUSSLOVE,39/100,23/32,2019/04/10,London Academy
1,TILER ANDREJEVIC,55/100,21/32,2019/04/10,London Academy
2,ESTER FOLDES,48/100,23/32,2019/04/10,London Academy
3,MILE O'BRIEN,50/100,24/32,2019/04/10,London Academy
4,SHEEREE COLLOP,66/100,19/32,2019/04/10,London Academy
5,LIBBIE PLUCK,51/100,19/32,2019/04/10,London Academy
6,GUSTY BEEVENS,42/100,22/32,2019/04/10,London Academy
7,LON GILLIMGHAM,56/100,18/32,2019/04/10,London Academy
8,HOGAN BUSHNELL,65/100,22/32,2019/04/10,London Academy
9,TIFFANY GRONALLER,54/100,24/32,2019/04/10,London Academy
10,CHILTON NIECE,62/100,22/32,2019/04/10,London Academy
11,EDA BANNER,72/100,20/32,2019/04/10,London Academy
12,DONALT SAVARY,48/100,18/32,2019/04/10,London Academy
13,ORALLE KOSE,50/100,22/32,2019/04/10,London Academy
14,VERNOR FARRANCE,55/100,22/32,2019/04/10,London Academy
15,SALVIDOR CULLY,53/100,18/32,2019/04/10,London Academy
16,NINETTE BORREL,49/100,11/32,2019/04/10,London Academy
17,TODD KOHNERT,58/100,24/32,2019/04/10,London Academy
18,GUNTER MARZELLANO,63/100,23/32,2019/04/10,London Academy
19,ENRIQUE GARSIDE,57/100,19/32,2019/04/10,London Academy
20,HILDA WINKETT,69/100,25/32,2019/04/10,London Academy
21,GILES DE ANGELIS,52/100,23/32,2019/04/10,London Academy
22,KALA FRANZINI,48/100,26/32,2019/04/10,London Academy
23,DAVEY MCDOWELL,52/100,24/32,2019/04/10,London Academy
24,MICKEY LAMPORT,56/100,18/32,2019/04/10,London Academy
25,MYRNA BONAFANT,51/100,23/32,2019/04/10,London Academy
26,MONTY HILLAM,47/100,11/32,2019/04/10,London Academy
27,LUKE ABLE,51/100,22/32,2019/04/10,London Academy
28,PHILLIS LYFIELD,55/100,23/32,2019/04/10,London Academy
0,CANDY BERENDS,66/100,15/32,2019/12/10,London Academy
1,ADOLPHO LITTERICK,63/100,17/32,2019/12/10,London Academy
2,ROCKEY COURTES,53/100,21/32,2019/12/10,London Academy
3,SALMON GLENFIELD,52/100,21/32,2019/12/10,London Academy
4,JENA LIVINGS,62/100,21/32,2019/12/10,London Academy
5,KAITLYN CHAGG,53/100,18/32,2019/12/10,London Academy
6,STEFFANE LAITY,62/100,25/32,2019/12/10,London Academy
7,HARRIE CHATIN,69/100,22/32,2019/12/10,London Academy
8,BAMBI EARTHFIELD,60/100,20/32,2019/12/10,London Academy
9,ULBERTO STROTON,59/100,22/32,2019/12/10,London Academy
10,REINOLD JENICEK,51/100,20/32,2019/12/10,London Academy
11,GUIDO ALLANS,57/100,16/32,2019/12/10,London Academy
12,ORELLA GOSHAWKE,55/100,17/32,2019/12/10,London Academy
13,FELITA JZHAKOV,59/100,22/32,2019/12/10,London Academy
14,FILIDE ROONY,60/100,22/32,2019/12/10,London Academy
15,CHARLEY FREDI,55/100,20/32,2019/12/10,London Academy
16,MELLY IBLE,52/100,21/32,2019/12/10,London Academy
17,WALLIE CHITTENDEN,57/100,22/32,2019/12/10,London Academy
18,SCOTTI BROMFIELD,50/100,21/32,2019/12/10,London Academy
19,ELISA GOWMAN,50/100,19/32,2019/12/10,London Academy
0,SUE BARFITT,50/100,19/32,2019/01/10,Birmingham Academy
1,ZEA BARETTE,52/100,18/32,2019/01/10,Birmingham Academy
2,MEGGIE SIDSAFF,52/100,18/32,2019/01/10,Birmingham Academy
3,GUI GRAINE,57/100,17/32,2019/01/10,Birmingham Academy
4,CAROLANN BUMBY,50/100,16/32,2019/01/10,Birmingham Academy
5,DANYA SEDGEFIELD,57/100,26/32,2019/01/10,Birmingham Academy
6,ROLLAND FIGGINS,41/100,22/32,2019/01/10,Birmingham Academy
7,FRANK TOLCHARD,50/100,18/32,2019/01/10,Birmingham Academy
8,SHELLI ABBESS,51/100,22/32,2019/01/10,Birmingham Academy
9,AMBROS ETHINGTON,56/100,23/32,2019/01/10,Birmingham Academy
10,NIKOLA DEVERICKS,49/100,17/32,2019/01/10,Birmingham Academy
11,CHESTON CEILLIER,65/100,25/32,2019/01/10,Birmingham Academy
12,BABITA HEIGHO,50/100,28/32,2019/01/10,Birmingham Academy
13,VINCE SCOTT,65/100,26/32,2019/01/10,Birmingham Academy
14,STEPHAN JAXON,63/100,22/32,2019/01/10,Birmingham Academy
15,THATCHER NORTHEY,49/100,16/32,2019/01/10,Birmingham Academy
16,LILLI LE BROM,47/100,23/32,2019/01/10,Birmingham Academy
0,DARWIN SAMBIEDGE,55/100,22/32,2019/07/10,London Academy
1,GRAYCE AIM,49/100,16/32,2019/07/10,London Academy
2,BETTY LAMLIN,72/100,24/32,2019/07/10,London Academy
3,QUILL TOMPKINSON,66/100,17/32,2019/07/10,London Academy
4,SHAUN DOWLEY,58/100,22/32,2019/07/10,London Academy
5,OSWALD LYNDON,57/100,16/32,2019/07/10,London Academy
6,STANWOOD HEIMANN,49/100,23/32,2019/07/10,London Academy
7,RUTHIE KINVIG,44/100,20/32,2019/07/10,London Academy
8,ALISON TETT,53/100,18/32,2019/07/10,London Academy
9,CARE OATTES,49/100,22/32,2019/07/10,London Academy
10,URIEL EIDELMAN,50/100,21/32,2019/07/10,London Academy
11,DRAKE NORTHCOTE,53/100,27/32,2019/07/10,London Academy
12,KAREL TOULAMAIN,51/100,16/32,2019/07/10,London Academy
13,ZELDA PRESTAGE,55/100,18/32,2019/07/10,London Academy
14,JUDON HENZE,58/100,22/32,2019/07/10,London Academy
15,MIGUELITA SMEDLEY,62/100,17/32,2019/07/10,London Academy
16,WEYLIN COMOLLI,50/100,25/32,2019/07/10,London Academy
17,DALORIS COTESFORD,60/100,22/32,2019/07/10,London Academy
18,SALIM SARRA,53/100,19/32,2019/07/10,London Academy
19,JOB RESTALL,60/100,21/32,2019/07/10,London Academy
20,THORIN ESKRIET,57/100,17/32,2019/07/10,London Academy
21,VIVIENNE BLAKELOCK,60/100,22/32,2019/07/10,London Academy
22,RANDIE KLIMASHEVICH,56/100,21/32,2019/07/10,London Academy
23,MAJE VALLIS,62/100,22/32,2019/07/10,London Academy
24,FREDDIE SAMBER,71/100,26/32,2019/07/10,London Academy
25,GRANT KILBAN,59/100,22/32,2019/07/10,London Academy
0,RAMSEY DIVALL,51/100,19/32,2019/10/10,Birmingham Academy
1,CLINT DRAPER,37/100,16/32,2019/10/10,Birmingham Academy
2,DRUCIE BIANCO,53/100,23/32,2019/10/10,Birmingham Academy
3,POWELL WANK,68/100,17/32,2019/10/10,Birmingham Academy
4,TONYE HEARL,63/100,21/32,2019/10/10,Birmingham Academy
5,GARDENER BOUNDEY,49/100,14/32,2019/10/10,Birmingham Academy
6,CLIFF KNOWLTON,57/100,19/32,2019/10/10,Birmingham Academy
7,LEW BARTLOMIECZAK,63/100,23/32,2019/10/10,Birmingham Academy
8,BARTHOLOMEO KEATLEY,54/100,19/32,2019/10/10,Birmingham Academy
9,ADEL KINRADE,56/100,16/32,2019/10/10,Birmingham Academy
10,PARRNELL WROE,59/100,15/32,2019/10/10,Birmingham Academy
11,ALEXIS ADESS,57/100,19/32,2019/10/10,Birmingham Academy
12,PAULY REBBECK,63/100,18/32,2019/10/10,Birmingham Academy
13,MALVIN PENRITH,61/100,23/32,2019/10/10,Birmingham Academy
14,NARIKO ROBELIN,44/100,19/32,2019/10/10,Birmingham Academy
15,WALLIE PECHA,51/100,22/32,2019/10/10,Birmingham Academy
16,MEREDITH CRAUFURD,50/100,14/32,2019/10/10,Birmingham Academy
17,BOBINE ADVANI,55/100,17/32,2019/10/10,Birmingham Academy
18,TOINETTE HALLUT,58/100,20/32,2019/10/10,Birmingham Academy
19,ALEKSANDR LEAN,47/100,22/32,2019/10/10,Birmingham Academy
20,BARNIE JERSH,59/100,22/32,2019/10/10,Birmingham Academy
21,PETERUS WRAITH,49/100,11/32,2019/10/10,Birmingham Academy
22,BAN CRAZE,38/100,24/32,2019/10/10,Birmingham Academy
23,CHRISY KESEY,58/100,15/32,2019/10/10,Birmingham Academy
24,BINNIE CAPNERHURST,53/100,14/32,2019/10/10,Birmingham Academy
25,AMMAMARIA TASSELL,57/100,20/32,2019/10/10,Birmingham Academy
26,KAROLINA COMINI,66/100,13/32,2019/10/10,Birmingham Academy
27,LORALIE EXROLL,53/100,20/32,2019/10/10,Birmingham Academy
28,BEBE GUYONNEAU,42/100,18/32,2019/10/10,Birmingham Academy
29,HOBARD GAYNES,67/100,23/32,2019/10/10,Birmingham Academy
30,CLEVIE BOWSHER,54/100,22/32,2019/10/10,Birmingham Academy
0,LORALYN DIBBS,46/100,18/32,2019/09/10,London Academy
1,MARSHA COULTER,60/100,22/32,2019/09/10,London Academy
2,NORENE DERICUT,60/100,23/32,2019/09/10,London Academy
3,DALE FEWLASS,52/100,22/32,2019/09/10,London Academy
4,WILFRED GODWYN,57/100,17/32,2019/09/10,London Academy
5,IRVINE HARMSON,55/100,23/32,2019/09/10,London Academy
6,LEYLA THREADGOLD,54/100,18/32,2019/09/10,London Academy
7,ETHELRED CARTMAN,52/100,24/32,2019/09/10,London Academy
8,BALDWIN MACBEY,56/100,24/32,2019/09/10,London Academy
9,TORRENCE LANEGRAN,62/100,20/32,2019/09/10,London Academy
10,ANGIE LANGER,41/100,21/32,2019/09/10,London Academy
11,PATRIC GOULT,68/100,22/32,2019/09/10,London Academy
12,JENNINE ERNI,56/100,26/32,2019/09/10,London Academy
13,RODERIC DAGGER,45/100,22/32,2019/09/10,London Academy
14,GLYNNIS WICKEN,50/100,26/32,2019/09/10,London Academy
15,STEPHINE KIRTON,63/100,19/32,2019/09/10,London Academy
16,CARROLL TREASADEN,54/100,21/32,2019/09/10,London Academy
17,RIVA MANGEOT,53/100,23/32,2019/09/10,London Academy
18,LILIAS MC GORLEY,50/100,17/32,2019/09/10,London Academy
19,GARRARD KEWARD,64/100,28/32,2019/09/10,London Academy
20,COLLIN COMMINS,52/100,22/32,2019/09/10,London Academy
21,BERTHA BURCHFIELD,55/100,18/32,2019/09/10,London Academy
22,STILLMANN QUALTROUGH,63/100,9/32,2019/09/10,London Academy
23,IGNATIUS DOXSEY,60/100,23/32,2019/09/10,London Academy
24,JO-ANN GALLIHAULK,62/100,20/32,2019/09/10,London Academy
25,MARK BECKINGHAM,63/100,28/32,2019/09/10,London Academy
26,RYLEY DAEL,62/100,25/32,2019/09/10,London Academy
0,MERIDEL RANDELL,62/100,23/32,2019/04/11,Birmingham Academy
1,ISACCO BOICHAT,57/100,19/32,2019/04/11,Birmingham Academy
2,VALENKA JIRSA,63/100,18/32,2019/04/11,Birmingham Academy
3,SULLIVAN PESKIN,45/100,24/32,2019/04/11,Birmingham Academy
4,THEOBALD RAWLES,66/100,16/32,2019/04/11,Birmingham Academy
5,HUBIE SURGOOD,52/100,21/32,2019/04/11,Birmingham Academy
6,PACO ST ANGE,59/100,22/32,2019/04/11,Birmingham Academy
7,FORBES SCIMONI,54/100,16/32,2019/04/11,Birmingham Academy
8,AGGY ALESSANDRUCCI,55/100,21/32,2019/04/11,Birmingham Academy
9,NICOLA GLOYENS,46/100,23/32,2019/04/11,Birmingham Academy
10,VIV NEWBY,51/100,15/32,2019/04/11,Birmingham Academy
11,ROSANNA BERKELY,44/100,19/32,2019/04/11,Birmingham Academy
12,ARLEN MEACHER,55/100,20/32,2019/04/11,Birmingham Academy
13,LEIGHA PAFFORD,50/100,17/32,2019/04/11,Birmingham Academy
14,AMALEA TYSACK,54/100,18/32,2019/04/11,Birmingham Academy
15,AUBERTA RUDDICK,63/100,23/32,2019/04/11,Birmingham Academy
16,KATHLIN GIBLING,64/100,24/32,2019/04/11,Birmingham Academy
17,PARKE COULTHURST,61/100,21/32,2019/04/11,Birmingham Academy
18,ASHER MCCROW,45/100,12/32,2019/04/11,Birmingham Academy
19,SCOTT DUNY,57/100,17/32,2019/04/11,Birmingham Academy
0,BERRY GAMMEL,71/100,16/32,2019/12/11,London Academy
1,MORITZ MOSEDALL,54/100,21/32,2019/12/11,London Academy
2,NERTI WELFAIR,63/100,18/32,2019/12/11,London Academy
3,SANDRO PRATCHETT,53/100,19/32,2019/12/11,London Academy
4,OLIA LINCOLN,62/100,18/32,2019/12/11,London Academy
5,CARIL BAYLY,58/100,21/32,2019/12/11,London Academy
6,GIANINA SHEVELIN,51/100,14/32,2019/12/11,London Academy
7,CHARLOTTE LAXE,58/100,27/32,2019/12/11,London Academy
8,CORI DOCWRA,56/100,20/32,2019/12/11,London Academy
9,BESSY TURPIE,62/100,23/32,2019/12/11,London Academy
10,EL SHEPSTONE,53/100,17/32,2019/12/11,London Academy
11,NAHUM RIDDOCK,65/100,21/32,2019/12/11,London Academy
12,BERNI TORRA,54/100,19/32,2019/12/11,London Academy
13,HORTEN KOOMAR,50/100,18/32,2019/12/11,London Academy
14,HALEY CHMIEL,42/100,15/32,2019/12/11,London Academy
15,ALLINA BUTTFIELD,57/100,18/32,2019/12/11,London Academy
16,MARI LOTTERINGTON,50/100,22/32,2019/12/11,London Academy
17,ELBERTINE ANGLISS,45/100,24/32,2019/12/11,London Academy
18,EDDIE MARA,60/100,23/32,2019/12/11,London Academy
19,WILLI DIBNAH,57/100,22/32,2019/12/11,London Academy
20,DOMENIC COULTER,64/100,19/32,2019/12/11,London Academy
21,JOHNNA TARBIN,52/100,25/32,2019/12/11,London Academy
22,RHYS AYTON,41/100,17/32,2019/12/11,London Academy
23,RIOBARD COLLCOTT,52/100,23/32,2019/12/11,London Academy
24,AMALIA SHEPPARD,56/100,22/32,2019/12/11,London Academy
25,RENE STENNINGS,52/100,22/32,2019/12/11,London Academy
26,PIPER HAWSON,56/100,22/32,2019/12/11,London Academy
27,DORETTA LANGDON,58/100,25/32,2019/12/11,London Academy
28,IMELDA FOWKES,44/100,24/32,2019/12/11,London Academy
29,CLAUDIAN COPP,47/100,18/32,2019/12/11,London Academy
30,FREE SIMMGEN,56/100,15/32,2019/12/11,London Academy
31,MILLY HUGNIN,66/100,22/32,2019/12/11,London Academy
32,ELISSA KNOWLES,50/100,22/32,2019/12/11,London Academy
0,ZACHARIAS RESTORICK,58/100,22/32,2019/07/11,Birmingham Academy
1,BENITA ENEFER,52/100,20/32,2019/07/11,Birmingham Academy
2,ROANA SANGER,56/100,20/32,2019/07/11,Birmingham Academy
3,CHERRITA MCGILLEGHOLE,52/100,25/32,2019/07/11,Birmingham Academy
4,ORTENSIA WINSCOMB,53/100,26/32,2019/07/11,Birmingham Academy
5,MICHELLE DUNGEE,45/100,20/32,2019/07/11,Birmingham Academy
6,LISSA PUMFRETT,59/100,18/32,2019/07/11,Birmingham Academy
7,HEWET DERWIN,62/100,25/32,2019/07/11,Birmingham Academy
8,WILHELM JOUANET,63/100,23/32,2019/07/11,Birmingham Academy
9,BARI STREATFIELD,59/100,22/32,2019/07/11,Birmingham Academy
10,RIK WAREN,64/100,18/32,2019/07/11,Birmingham Academy
11,VIVYAN ROBUCHON,61/100,17/32,2019/07/11,Birmingham Academy
12,DANA OLDERSHAW,49/100,18/32,2019/07/11,Birmingham Academy
13,WHITMAN PONTER,49/100,23/32,2019/07/11,Birmingham Academy
14,SHAY OBEE,52/100,18/32,2019/07/11,Birmingham Academy
15,FAYETTE VATINI,42/100,18/32,2019/07/11,Birmingham Academy
16,HORATIUS BRANCH,58/100,15/32,2019/07/11,Birmingham Academy
17,MELAMIE STREAT,48/100,22/32,2019/07/11,Birmingham Academy
18,FLORIS RIZZETTI,51/100,22/32,2019/07/11,Birmingham Academy
19,ADELAIDA PIRSON,57/100,27/32,2019/07/11,Birmingham Academy
20,ESTER MCTERRELLY,63/100,20/32,2019/07/11,Birmingham Academy
21,LURLINE STIRTLE,57/100,23/32,2019/07/11,Birmingham Academy
22,ANNECORINNE KERTESS,49/100,18/32,2019/07/11,Birmingham Academy
23,GAELAN CORDS,59/100,12/32,2019/07/11,Birmingham Academy
24,COBBY WIXEY,49/100,18/32,2019/07/11,Birmingham Academy
25,BELLE CATHERALL,53/100,23/32,2019/07/11,Birmingham Academy
26,LORY BRUCKMAN,53/100,19/32,2019/07/11,Birmingham Academy
27,RUFE DEVON,51/100,16/32,2019/07/11,Birmingham Academy
28,ZACHERIE BESWELL,58/100,20/32,2019/07/11,Birmingham Academy
29,MAME THEURER,39/100,20/32,2019/07/11,Birmingham Academy
30,MAGGIE DOLDEN,53/100,28/32,2019/07/11,Birmingham Academy
31,GAGE FEVERYEAR,63/100,19/32,2019/07/11,Birmingham Academy
32,VIRGINIA BURDGE,57/100,18/32,2019/07/11,Birmingham Academy
33,ARLETTE PICKLES,61/100,17/32,2019/07/11,Birmingham Academy
34,MADELEINE BRUNICKE,67/100,16/32,2019/07/11,Birmingham Academy
35,SINCLAIR BONDER,60/100,26/32,2019/07/11,Birmingham Academy
0,SIOUXIE ROGAN,60/100,16/32,2019/06/11,London Academy
1,CHARLEAN BALSTON,53/100,20/32,2019/06/11,London Academy
2,MAXI HIGHWOOD,48/100,25/32,2019/06/11,London Academy
3,ANTONI CANEY,66/100,17/32,2019/06/11,London Academy
4,DIANA WEBBY,61/100,18/32,2019/06/11,London Academy
5,MALVINA WHITEFORD,53/100,24/32,2019/06/11,London Academy
6,STEWART STAPLEFORD,44/100,21/32,2019/06/11,London Academy
7,JAYNE ANDRIVEAU,62/100,26/32,2019/06/11,London Academy
8,WORTHINGTON RICHFORD,59/100,18/32,2019/06/11,London Academy
9,DONALT JULYAN,59/100,17/32,2019/06/11,London Academy
10,MONAH MENCI,62/100,12/32,2019/06/11,London Academy
11,DEV MCPHERSON,64/100,26/32,2019/06/11,London Academy
12,SHANDEIGH BIRCHETT,47/100,22/32,2019/06/11,London Academy
13,VINCENTY ROUBAY,72/100,20/32,2019/06/11,London Academy
14,MELAMIE KEERS,61/100,22/32,2019/06/11,London Academy
15,DOY TAMS,58/100,22/32,2019/06/11,London Academy
16,MERILEE WHEELBAND,47/100,23/32,2019/06/11,London Academy
17,MARYANNA SEENEY,50/100,18/32,2019/06/11,London Academy
18,EVANGELIN GORGES,66/100,22/32,2019/06/11,London Academy
19,SEAN DILLAWAY,54/100,22/32,2019/06/11,London Academy
20,GISELA SCHACHTER,65/100,20/32,2019/06/11,London Academy
21,PHEDRA BERRIBALL,56/100,18/32,2019/06/11,London Academy
22,SHERWOOD CAHAN,42/100,11/32,2019/06/11,London Academy
23,BYROM SAWDAY,54/100,21/32,2019/06/11,London Academy
24,JOANNA EGGERTON,51/100,22/32,2019/06/11,London Academy
25,SHAYNE DE DOMENICO,54/100,20/32,2019/06/11,London Academy
26,PETRONILLA ZIEMENS,56/100,19/32,2019/06/11,London Academy
27,NIKOLAUS GULLEFANT,54/100,19/32,2019/06/11,London Academy
28,AUBERON WERNY,52/100,17/32,2019/06/11,London Academy
29,FORSTER CLINES,60/100,18/32,2019/06/11,London Academy
30,PRENTICE VAN DER HOEVEN,60/100,23/32,2019/06/11,London Academy
0,MANON CLUTTERHAM,59/100,26/32,2019/09/11,London Academy
1,RAMON HINCHCLIFFE,56/100,18/32,2019/09/11,London Academy
2,JENINE IVASHKOV,53/100,24/32,2019/09/11,London Academy
3,PEBROOK EYDEL,58/100,23/32,2019/09/11,London Academy
4,BETTE-ANN FERRIERES,43/100,27/32,2019/09/11,London Academy
5,CHRISSY BARTHOLIN,55/100,19/32,2019/09/11,London Academy
6,JERE AMOR,50/100,17/32,2019/09/11,London Academy
7,AMANDA LILL,59/100,21/32,2019/09/11,London Academy
8,FIONA SANDLE,60/100,17/32,2019/09/11,London Academy
9,MALINA CASACCIA,65/100,23/32,2019/09/11,London Academy
10,ANDREAS MEHMET,58/100,19/32,2019/09/11,London Academy
11,LIANA JOHANNES,39/100,21/32,2019/09/11,London Academy
12,KEEFE MIRFIN,53/100,23/32,2019/09/11,London Academy
13,WYATT TRIPPACK,57/100,16/32,2019/09/11,London Academy
14,DIETRICH SABATER,51/100,23/32,2019/09/11,London Academy
15,DOROTHEA BIDNALL,54/100,21/32,2019/09/11,London Academy
16,RENIE ELLIN,63/100,15/32,2019/09/11,London Academy
17,GERY MARCHMENT,50/100,19/32,2019/09/11,London Academy
18,HILLARY THOULESS,54/100,23/32,2019/09/11,London Academy
19,MARIEL BARTEL,53/100,17/32,2019/09/11,London Academy
20,CHELSY REGUS,48/100,18/32,2019/09/11,London Academy
21,GUILLAUME RUBURY,41/100,19/32,2019/09/11,London Academy
22,TEODORA WHAPLINGTON,57/100,21/32,2019/09/11,London Academy
23,ELFRIDA REECE,66/100,17/32,2019/09/11,London Academy
24,CORRY SIVETER,42/100,24/32,2019/09/11,London Academy
25,JILLIAN WENN,57/100,18/32,2019/09/11,London Academy
26,ELSA WOONTON,54/100,23/32,2019/09/11,London Academy
27,RACHELE SHAPLIN,65/100,17/32,2019/09/11,London Academy
28,MERWYN BREMEYER,55/100,19/32,2019/09/11,London Academy
29,DANNI GURDON,53/100,17/32,2019/09/11,London Academy
30,VERONIKE ALENOV,53/100,22/32,2019/09/11,London Academy
31,STEPHAN TIDBALD,61/100,17/32,2019/09/11,London Academy
32,CHRISSE SANTOSTEFANO.,57/100,25/32,2019/09/11,London Academy
33,HELYN SAHNOW,67/100,16/32,2019/09/11,London Academy
34,HOMERUS HEIGHTON,58/100,17/32,2019/09/11,London Academy
35,FREDIA RUOS,64/100,17/32,2019/09/11,London Academy
36,HARRIETTA BUTEN,53/100,23/32,2019/09/11,London Academy
37,GLYNDA CANCELLARIO,48/100,21/32,2019/09/11,London Academy
38,SARITA WEEDON,66/100,19/32,2019/09/11,London Academy
39,DARWIN VLASOV,51/100,25/32,2019/09/11,London Academy
0,HI ROMKE,48/100,13/32,2019/12/12,Birmingham Academy
1,GERTRUDA SYDDIE,53/100,24/32,2019/12/12,Birmingham Academy
2,LOELLA THOMEL,45/100,22/32,2019/12/12,Birmingham Academy
3,DNIREN BARLAS,52/100,19/32,2019/12/12,Birmingham Academy
4,JO ANN BEEKE,51/100,26/32,2019/12/12,Birmingham Academy
5,MART HAGGERSTONE,57/100,23/32,2019/12/12,Birmingham Academy
